-- League --	--- FA Cup ---	---- Other ----

1971/72
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BARRY, Mike	Winger	
										
CHAPMAN, Les	Midfielder	
										
CHERRY, Trevor	Central Defender	
										
CLARKE, Dennis	Central Defender	
										
DOBSON, Colin	Winger	
										
DOLAN, Terry	Midfielder	
										
ELLAM, Roy	Central Defender	
										
FAIRCLOUGH, Mick	Midfielder	
										
HOY, Bobby	Winger	
										
HUTT, Geoff	Full Back	
										
JONES, Alan	Winger	
										
KRZYWICKI, Dick	Winger	
										
LAWSON, David	Goalkeeper	
										
LAWSON, Jimmy	Winger	
										
LYON, David	Central Defender	
										
MAHONEY, Brian	Forward	
										
MCGILL, Jimmy	Midfielder	
										
NICHOLSON, Jimmy	Midfielder	
										
PIERCE, Gary	Goalkeeper	
										
SMITH, Dave	Forward	
										
SMITH, Steve	Midfielder	
										
WORTHINGTON, Frank	Forward	