,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,Matchs
Joseph Yobo\acd633df,ng NGA,DF,25,38,38,3420,38.0,2,0,2,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matchs
Lee Carsley\8393a60b,ie IRL,MT,32,38,38,3378,37.5,1,3,1,0,0,3,0,0.03,0.08,0.11,0.03,0.11,Matchs
Joleon Lescott\62393d3b,eng ENG,DF,23,38,36,3317,36.9,2,1,2,0,0,2,0,0.05,0.03,0.08,0.05,0.08,Matchs
Tim Howard\c444465e,us USA,GB,27,36,36,3240,36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mikel Arteta\d934d1e6,es ESP,MT,24,35,35,3137,34.9,9,9,4,5,5,9,0,0.26,0.26,0.52,0.11,0.37,Matchs
Phil Neville\3db5e0ec,eng ENG,DFMT,29,35,35,3113,34.6,1,5,1,0,0,7,0,0.03,0.14,0.17,0.03,0.17,Matchs
Andrew Johnson\facd1b3e,eng ENG,AT,25,32,32,2717,30.2,11,2,10,1,1,4,0,0.36,0.07,0.43,0.33,0.40,Matchs
Leon Osman\a014c247,eng ENG,MT,25,34,31,2810,31.2,3,1,3,0,0,5,0,0.10,0.03,0.13,0.10,0.13,Matchs
Alan Stubbs\474865f9,eng ENG,DF,34,24,24,2089,23.2,2,0,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matchs
Tim Cahill\e5a2dfc2,au AUS,ATMT,26,18,17,1408,15.6,5,3,5,0,0,5,0,0.32,0.19,0.51,0.32,0.51,Matchs
James Beattie\7c881089,eng ENG,AT,28,33,15,1459,16.2,2,3,0,2,2,4,0,0.12,0.19,0.31,0.00,0.19,Matchs
Manuel Fernandes\13ac19de,pt POR,MT,20,19,15,1311,14.6,2,1,2,0,0,4,0,0.14,0.07,0.21,0.14,0.21,Matchs
Tony Hibbert\c878c4bf,eng ENG,DF,25,13,12,970,10.8,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matchs
Gary Naysmith\71cbf286,sct SCO,DFMT,27,15,10,988,11.0,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matchs
Nuno Valente\ac474cf2,pt POR,DF,31,14,10,897,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
James Vaughan\4fb0dc59,eng ENG,AT,18,14,7,652,7.2,4,1,4,0,0,5,0,0.55,0.14,0.69,0.55,0.69,Matchs
James McFadden\2cfdae75,sct SCO,ATMT,23,19,6,786,8.7,2,1,2,0,0,1,0,0.23,0.11,0.34,0.23,0.34,Matchs
Victor Anichebe\4aed5c19,ng NGA,AT,18,19,5,616,6.8,3,1,3,0,0,6,0,0.44,0.15,0.58,0.44,0.58,Matchs
Andy van der Meyde\d44b1ec0,nl NED,ATMT,26,8,5,387,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matchs
David Weir\ba286fd8,sct SCO,DF,36,5,2,151,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Iain Turner\bab68c3c,sct SCO,GB,22,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Richard Wright\d9e2e2ae,eng ENG,GB,28,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Anderson Silva\3e908744,br BRA,MT,23,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Mark Hughes\5f4b1c49,eng ENG,DF,19,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matchs
Total de l'équipe,,,26.9,38,411,,,50,35,42,8,8,70,2,1.32,0.92,2.24,1.11,2.03,
Total adversaire,,,26.4,38,,,,,,,,,,,,,,,,