Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Leicester City,38,23,12,3,68,36,+32,81,31998,Jamie Vardy - 24,Kasper Schmeichel,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Arsenal,38,20,11,7,65,36,+29,71,59944,Olivier Giroud - 16,Petr Čech,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Tottenham Hotspur,38,19,13,6,69,35,+34,70,35776,Harry Kane - 25,Hugo Lloris,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Manchester City,38,19,9,10,71,41,+30,66,54041,Sergio Agüero - 24,Joe Hart,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Manchester United,38,19,9,10,49,35,+14,66,75286,Anthony Martial - 11,David de Gea,→ UEFA Europa League grâce à sa victoire en coupe 1
6,Southampton,38,18,9,11,59,41,+18,63,30751,Graziano Pellè / Sadio Mané - 11,Fraser Forster,→ UEFA Europa League grâce à sa bonne place dans le classement 2
7,West Ham United,38,16,14,8,65,51,+14,62,34910,Dimitri Payet / Andy Carroll - 9,Adrián,→ UEFA Europa League grâce à sa bonne place dans le classement 3
8,Liverpool,38,16,12,10,63,50,+13,60,43910,Roberto Firmino - 10,Simon Mignolet,
9,Stoke City,38,14,9,15,41,55,-14,51,27534,Marko Arnautović - 11,Jack Butland,
10,Chelsea,38,12,14,12,59,53,+6,50,41500,Diego Costa - 12,Thibaut Courtois,
11,Everton,38,11,14,13,59,55,+4,47,38124,Romelu Lukaku - 18,Tim Howard,
12,Swansea City,38,12,11,15,42,52,-10,47,20711,André Ayew - 12,Łukasz Fabiański,
13,Watford,38,12,9,17,40,50,-10,45,20594,Odion Ighalo - 15,Heurelho Gomes,
14,West Bromwich Albion,38,10,13,15,34,48,-14,43,24631,Salomón Rondón - 9,Boaz Myhill,
15,Crystal Palace,38,11,9,18,39,51,-12,42,24825,Connor Wickham / Scott Dann - 5,Wayne Hennessey,
16,Bournemouth,38,11,9,18,45,67,-22,42,11189,Joshua King - 6,Artur Boruc,
17,Sunderland,38,9,12,17,48,62,-14,39,43071,Jermain Defoe - 15,Vito Mannone,
18,Newcastle United,38,9,10,19,44,65,-21,37,49754,Georginio Wijnaldum - 11,Rob Elliot,Relégué
19,Norwich City,38,9,7,22,39,67,-28,34,26972,Dieumerci Mbokani - 7,John Ruddy,Relégué
20,Aston Villa,38,3,8,27,27,76,-49,17,33690,Jordan Ayew - 7,Brad Guzan,Relégué